Date,Average Dew Point (F),Average Temperature (F),Average Relative Humidity (%),Average Daily Wind Speed (mph),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2014-02-07,28,33,83,6.7,37,28,0.01
2014-02-08,39,43,90,5.4,50,36,0.00
2014-02-09,49,56,85,7.4,67,44,0.0
2014-02-10,42,48,95,13.0,59,37,0.01
2014-02-11,31,36,83,13.2,39,33,0.05
2014-02-12,30,41,74,7.6,50,31,0.00
2014-02-13,35,46,69,5.4,62,29,0.00
2014-02-14,42,60,63,10.3,78,42,0.00
2014-02-15,34,56,45,8.5,70,41,0.00
2014-02-16,57,63,79,10.3,75,51,0.00
2014-02-17,57,70,70,7.6,79,61,0.00
2014-02-18,58,67,71,9.6,78,56,0.00
2014-02-19,61,71,78,13.4,79,62,0.00
2014-02-20,53,68,60,14.3,83,53,0.00
2014-02-21,33,52,45,6.3,66,38,0.00
2014-02-22,46,59,64,9.4,73,44,0.00
2014-02-23,58,70,78,4.7,79,60,0.0
2014-02-24,56,61,83,6.3,69,52,0.0
2014-02-25,60,62,96,7.2,72,51,0.01
2014-02-26,34,42,75,13.6,51,33,0.32
2014-02-27,29,41,60,5.6,53,29,0.00
2014-02-28,50,56,81,11.0,72,41,0.00
2014-03-01,64,72,83,12.1,80,63,0.00
2014-03-02,46,48,92,13.9,70,25,0.10
2014-03-03,22,27,75,16.3,32,22,0.07
2014-03-04,30,34,88,6.3,40,28,0.29
2014-03-05,39,44,83,5.1,52,36,0.0
2014-03-06,39,51,61,8.7,60,41,0.00
2014-03-07,42,51,71,8.5,65,36,0.00
2014-03-08,50,54,89,10.1,65,43,0.89
2014-03-09,43,47,86,6.7,55,40,0.0
2014-03-10,51,59,78,4.3,73,44,0.00
2014-03-11,56,65,82,9.4,73,56,0.01
2014-03-12,34,54,46,18.1,64,44,0.00
2014-03-13,33,51,49,6.3,65,36,0.00
2014-03-14,51,59,73,8.9,71,47,0.00
2014-03-15,63,65,95,7.6,68,62,0.19
2014-03-16,47,55,75,16.8,67,43,0.0
2014-03-17,35,51,54,8.7,63,39,0.00
2014-03-18,50,63,67,15.2,78,47,0.00
2014-03-19,42,61,53,8.7,70,51,0.00
2014-03-20,40,60,50,4.0,75,45,0.00
2014-03-21,56,65,76,11.0,78,51,0.00
2014-03-22,63,71,80,7.6,81,60,0.00
2014-03-23,48,57,76,13.6,62,51,0.0
2014-03-24,44,60,62,6.0,69,50,0.00
2014-03-25,36,56,47,9.2,68,45,0.00
2014-03-26,45,57,65,12.8,65,49,0.0
2014-03-27,64,66,91,13.0,72,60,0.0
2014-03-28,63,72,79,8.5,84,60,0.06
2014-03-29,45,62,56,9.6,76,49,0.00
2014-03-30,44,62,52,10.5,76,47,0.00
2014-03-31,57,67,71,13.0,80,54,0.00
2014-04-01,66,75,79,12.5,85,65,0.00
2014-04-02,68,77,80,17.4,84,70,0.0
2014-04-03,69,77,80,16.1,82,72,0.00
2014-04-04,42,64,48,13.2,73,55,0.23
2014-04-05,43,60,52,9.8,66,54,0.00
2014-04-06,50,56,88,8.9,60,52,0.30
2014-04-07,50,59,73,8.7,67,51,0.04
2014-04-08,41,61,57,11.9,73,49,0.0
2014-04-09,43,62,51,6.7,80,44,0.00
2014-04-10,54,70,64,14.8,83,57,0.00
2014-04-11,60,72,72,15.0,83,60,0.00
2014-04-12,63,74,73,15.9,84,65,0.00
2014-04-13,68,72,86,12.1,77,67,0.0
2014-04-14,48,58,77,15.4,74,43,0.65
2014-04-15,33,50,52,4.9,63,37,0.00
2014-04-16,42,56,60,10.5,69,42,0.00
2014-04-17,55,63,78,6.9,73,54,0.01
2014-04-18,55,69,69,6.0,78,59,0.00
2014-04-19,56,67,67,4.3,79,54,0.00
2014-04-20,58,70,67,8.3,80,59,0.00
2014-04-21,64,72,79,9.4,82,63,0.00
2014-04-22,62,74,69,5.4,85,63,0.00
2014-04-23,63,73,71,9.8,85,61,0.00
2014-04-24,66,76,75,9.6,84,67,0.00
2014-04-25,55,75,54,6.7,87,62,0.00
2014-04-26,68,74,80,12.8,82,67,0.0
2014-04-27,71,81,78,15.4,88,74,0.0
2014-04-28,49,78,44,8.3,89,67,0.0
2014-04-29,43,70,40,11.2,82,58,0.00
2014-04-30,39,61,44,9.8,71,50,0.00
2014-05-01,38,61,45,3.6,75,46,0.00
2014-05-02,40,67,41,5.1,82,51,0.00
2014-05-03,42,72,36,7.4,89,55,0.00
2014-05-04,44,73,38,11.4,89,57,0.00
2014-05-05,56,72,62,13.0,87,56,0.00
2014-05-06,62,76,68,13.9,88,63,0.00
2014-05-07,66,77,74,16.3,86,68,0.00
2014-05-08,71,74,90,14.8,79,69,1.78
2014-05-09,68,73,87,8.5,82,64,0.05
2014-05-10,67,75,78,10.7,88,62,0.00
2014-05-11,70,81,75,15.4,89,72,0.00
2014-05-12,72,76,85,13.6,85,66,1.77
2014-05-13,59,63,85,11.4,68,59,1.70
2014-05-14,50,63,66,13.2,72,54,0.14
2014-05-15,48,64,57,6.7,80,48,0.00
2014-05-16,48,70,49,11.9,84,56,0.00
2014-05-17,56,73,60,13.4,85,61,0.00
2014-05-18,61,74,69,11.0,84,64,0.00
2014-05-19,64,76,68,14.3,85,66,0.00
2014-05-20,65,80,67,14.3,88,71,0.00
2014-05-21,65,78,67,10.7,87,69,0.00
2014-05-22,66,78,69,9.2,88,67,0.00
2014-05-23,66,78,72,9.2,85,70,0.00
2014-05-24,67,78,73,8.5,88,68,0.00
2014-05-25,67,80,70,8.3,87,72,0.00
2014-05-26,68,74,90,8.5,81,67,0.48
2014-05-27,65,67,96,6.5,72,63,2.84
2014-05-28,67,74,81,5.4,83,66,0.25
2014-05-29,67,77,72,3.4,87,66,0.00
2014-05-30,69,80,71,5.4,90,70,0.00
2014-05-31,71,79,79,4.9,87,71,0.0
2014-06-01,71,80,75,5.4,89,71,0.00
2014-06-02,72,82,76,8.5,90,74,0.00
2014-06-03,72,81,76,7.2,90,73,0.00
2014-06-04,71,82,74,9.2,91,73,0.00
2014-06-05,72,82,75,9.6,91,73,0.00
2014-06-06,72,83,72,10.5,92,74,0.00
2014-06-07,71,83,70,9.6,93,74,0.00
2014-06-08,72,83,73,9.8,91,75,0.00
2014-06-09,72,76,83,11.4,84,68,0.48
2014-06-10,65,78,70,6.7,85,70,0.0
2014-06-11,69,80,68,5.1,92,67,0.00
2014-06-12,74,85,75,10.1,91,78,0.02
2014-06-13,72,83,72,5.4,92,75,0.08
2014-06-14,72,83,73,10.1,91,75,0.00
2014-06-15,73,85,71,11.9,93,76,0.00
2014-06-16,73,86,70,13.2,93,78,0.0
2014-06-17,73,86,71,13.0,93,78,0.02
2014-06-18,73,85,72,12.8,94,77,0.0
2014-06-19,72,83,71,9.6,92,74,0.00
2014-06-20,71,82,71,7.4,90,74,0.0
2014-06-21,71,82,74,6.3,92,72,0.0
2014-06-22,72,83,74,8.9,90,76,0.01
2014-06-23,73,80,77,9.2,88,72,0.48
2014-06-24,74,83,84,5.8,92,74,0.16
2014-06-25,73,79,91,6.5,85,73,0.34
2014-06-26,71,80,79,10.1,88,72,0.01
2014-06-27,73,81,77,14.5,91,71,0.01
2014-06-28,74,85,73,16.3,93,77,0.0
2014-06-29,74,86,71,15.0,94,78,0.00
2014-06-30,73,85,69,13.9,94,77,0.00
2014-07-01,72,85,70,8.5,94,75,0.00
2014-07-02,71,83,69,4.5,95,72,0.00
2014-07-03,71,81,78,6.3,92,71,0.08
2014-07-04,71,81,78,4.0,89,72,0.03
2014-07-05,71,82,77,5.1,92,72,0.00
2014-07-06,71,81,73,6.5,91,72,0.05
2014-07-07,70,83,67,8.1,94,73,0.00
2014-07-08,71,85,67,8.5,95,74,0.00
2014-07-09,68,85,62,7.8,97,72,0.00
2014-07-10,68,85,64,8.1,96,73,0.00
2014-07-11,68,83,62,7.2,95,71,0.00
2014-07-12,68,84,61,4.7,96,72,0.00
2014-07-13,70,86,62,6.3,97,75,0.00
2014-07-14,70,87,62,7.6,97,76,0.00
2014-07-15,73,79,82,3.8,86,72,1.06
2014-07-16,72,84,73,4.9,93,75,0.00
2014-07-17,74,82,84,9.6,89,75,4.55
2014-07-18,71,76,84,9.2,79,72,0.0
2014-07-19,68,77,77,6.0,84,70,0.00
2014-07-20,72,81,77,4.9,92,69,0.00
2014-07-21,74,85,72,5.4,93,77,0.00
2014-07-22,74,85,70,3.6,94,76,0.0
2014-07-23,71,85,66,6.3,93,77,0.00
2014-07-24,69,84,62,5.6,93,75,0.0
2014-07-25,72,84,68,6.3,94,74,0.00
2014-07-26,72,86,67,8.9,96,75,0.00
2014-07-27,72,87,66,7.6,97,76,0.00
2014-07-28,70,86,65,5.6,97,75,0.00
2014-07-29,72,83,73,5.4,91,76,0.15
2014-07-30,72,83,71,8.5,93,74,0.00
2014-07-31,73,84,78,6.9,93,75,0.80
2014-08-01,68,78,78,8.7,85,71,0.00
2014-08-02,68,76,79,7.6,82,69,0.00
2014-08-03,70,80,71,8.1,89,71,0.00
2014-08-04,72,83,74,6.5,92,73,0.14
2014-08-05,72,84,71,4.0,94,74,0.17
2014-08-06,72,84,69,7.2,94,74,0.00
2014-08-07,73,87,68,9.8,97,76,0.00
2014-08-08,72,87,65,8.5,97,77,0.00
2014-08-09,72,87,66,7.6,97,77,0.00
2014-08-10,73,87,70,4.9,96,78,0.00
2014-08-11,73,87,78,5.6,97,76,0.02
2014-08-12,68,85,62,5.8,95,74,0.00
2014-08-13,61,81,50,8.7,92,70,0.00
2014-08-14,65,83,58,5.6,94,71,0.00
2014-08-15,70,86,64,6.7,97,75,0.00
2014-08-16,71,88,63,10.1,99,77,0.00
2014-08-17,71,88,63,8.9,98,77,0.00
2014-08-18,73,89,66,9.6,98,79,0.0
2014-08-19,72,86,74,9.8,96,76,0.0
2014-08-20,74,87,73,10.1,97,77,0.02
2014-08-21,72,89,63,12.3,98,79,0.00
2014-08-22,72,88,63,10.5,98,77,0.00
2014-08-23,71,85,65,6.7,97,74,0.00
2014-08-24,70,85,62,5.8,97,73,0.00
2014-08-25,69,87,57,3.8,99,74,0.00
2014-08-26,69,87,58,7.4,97,77,0.00
2014-08-27,67,85,57,6.7,97,74,0.00
2014-08-28,72,83,74,7.4,90,75,0.0
2014-08-29,72,85,74,7.6,94,75,0.0
2014-08-30,71,83,70,5.1,93,74,0.00
2014-08-31,72,81,77,9.2,90,73,0.06
2014-09-01,72,86,68,10.7,97,75,0.00
2014-09-02,73,87,70,10.5,96,77,0.0
2014-09-03,71,87,65,8.9,98,75,0.00
2014-09-04,72,86,71,8.1,97,75,0.00
2014-09-05,72,86,73,5.6,97,75,0.0
2014-09-06,72,85,70,3.8,97,74,0.0
2014-09-07,71,82,79,5.1,91,73,0.31
2014-09-08,70,82,69,4.0,93,71,0.00
2014-09-09,71,85,66,8.3,95,75,0.00
2014-09-10,72,87,66,10.5,98,76,0.00
2014-09-11,72,87,68,5.6,97,76,0.0
2014-09-12,71,82,76,6.7,96,68,4.26
2014-09-13,63,66,88,12.3,69,63,0.30
2014-09-14,64,72,79,5.6,78,65,0.00
2014-09-15,70,80,76,5.8,91,69,0.00
2014-09-16,73,84,79,5.8,93,75,0.11
2014-09-17,73,83,82,4.5,92,75,0.0
2014-09-18,75,79,93,5.4,82,75,1.19
2014-09-19,73,80,90,6.7,86,73,0.39
2014-09-20,70,81,72,5.8,89,73,0.00
2014-09-21,68,81,67,3.6,91,71,0.00
2014-09-22,68,81,67,7.8,90,72,0.00
2014-09-23,57,74,57,7.4,84,63,0.00
2014-09-24,56,72,58,4.5,84,60,0.00
2014-09-25,63,75,66,6.9,85,65,0.00
2014-09-26,64,77,66,6.0,85,69,0.00
2014-09-27,65,77,71,5.4,84,70,0.01
2014-09-28,66,78,67,6.9,88,68,0.00
2014-09-29,65,78,67,4.3,88,67,0.00
2014-09-30,70,81,75,3.8,90,71,0.00
2014-10-01,72,83,75,7.2,91,74,0.00
2014-10-02,73,81,75,10.5,93,70,0.66
2014-10-03,54,72,56,9.8,83,62,0.00
2014-10-04,45,67,50,7.6,77,57,0.00
2014-10-05,58,71,65,9.8,85,57,0.00
2014-10-06,63,74,76,7.6,82,66,0.06
2014-10-07,69,78,78,8.1,90,66,0.00
2014-10-08,71,81,79,8.3,89,73,0.00
2014-10-09,70,81,74,10.3,89,73,0.00
2014-10-10,72,82,75,10.5,91,73,0.00
2014-10-11,63,69,89,9.2,75,63,0.23
2014-10-12,66,70,88,6.7,78,62,0.11
2014-10-13,59,67,72,14.1,78,56,0.75
2014-10-14,46,64,56,7.2,77,51,0.00
2014-10-15,49,67,57,2.7,85,50,0.00
2014-10-16,52,71,57,7.6,85,56,0.00
2014-10-17,61,72,72,6.0,85,59,0.00
2014-10-18,63,74,73,3.8,86,63,0.00
2014-10-19,60,72,72,6.7,81,63,0.00
2014-10-20,59,70,69,5.1,81,59,0.00
2014-10-21,57,69,66,4.5,82,56,0.00
2014-10-22,59,72,66,5.6,82,63,0.00
2014-10-23,55,72,60,4.9,80,63,0.0
2014-10-24,55,71,64,2.2,83,58,0.00
2014-10-25,59,72,67,3.1,85,59,0.00
2014-10-26,57,72,65,6.9,84,60,0.00
2014-10-27,60,73,68,9.6,85,61,0.0
2014-10-28,64,73,76,4.0,82,64,0.00
2014-10-29,62,69,76,6.7,77,61,0.00
2014-10-30,52,67,60,3.6,79,56,0.00
2014-10-31,45,63,53,11.2,75,50,0.00
2014-11-01,37,56,55,7.8,66,45,0.00
2014-11-02,44,58,61,9.8,72,43,0.00
2014-11-03,55,68,67,11.9,80,55,0.00
2014-11-04,62,71,80,10.7,81,60,1.45
2014-11-05,58,59,96,10.5,60,57,1.34
2014-11-06,54,60,81,8.9,66,54,0.22
2014-11-07,42,58,59,5.6,66,49,0.00
2014-11-08,47,60,68,5.4,72,49,0.0
2014-11-09,42,56,62,4.5,69,42,0.00
2014-11-10,52,63,68,10.3,78,48,0.00
2014-11-11,42,54,68,12.1,67,42,0.0
2014-11-12,29,44,55,16.1,51,37,0.00
2014-11-13,16,39,42,15.0,47,31,0.00
2014-11-14,19,39,44,6.3,49,29,0.00
2014-11-15,35,46,71,6.9,50,42,0.16
2014-11-16,41,42,92,10.3,49,36,0.0
2014-11-17,22,40,54,13.0,51,29,0.00
2014-11-18,24,42,54,3.8,53,30,0.00
2014-11-19,39,51,66,7.6,67,34,0.00
2014-11-20,53,59,85,8.1,74,44,0.15
2014-11-21,62,64,95,9.6,68,60,0.05
2014-11-22,61,63,94,9.2,66,59,2.52
2014-11-23,53,68,67,11.2,79,57,0.0
2014-11-24,35,54,50,8.5,65,44,0.00
2014-11-25,33,53,55,3.6,65,40,0.00
2014-11-26,34,58,47,8.7,73,42,0.00
2014-11-27,31,54,46,6.0,65,44,0.00
2014-11-28,46,56,69,9.2,71,40,0.00
2014-11-29,57,65,78,13.2,77,54,0.00
2014-11-30,61,72,74,12.5,78,65,0.0
2014-12-01,42,54,75,11.4,65,43,0.01
2014-12-02,37,45,65,6.9,52,39,0.00
2014-12-03,51,58,88,6.3,68,49,0.00
2014-12-04,58,65,86,6.3,74,55,0.00
2014-12-05,64,72,84,8.3,80,65,0.06
2014-12-06,54,63,79,9.4,70,55,0.00
2014-12-07,49,55,79,7.6,57,53,0.00
2014-12-08,45,55,73,5.8,66,44,0.00
2014-12-09,44,54,74,2.0,68,41,0.00
2014-12-10,45,54,72,4.3,66,42,0.01
2014-12-11,55,62,83,5.8,68,56,0.14
2014-12-12,55,65,75,6.5,73,57,0.01
2014-12-13,57,63,85,8.3,73,54,0.00
2014-12-14,61,67,82,14.3,75,59,0.0
2014-12-15,47,65,55,9.6,75,54,0.00
2014-12-16,35,54,51,9.2,62,45,0.00
2014-12-17,42,50,73,6.5,56,44,0.02
2014-12-18,51,56,89,7.6,62,50,0.0
2014-12-19,50,54,92,12.8,59,49,1.50
2014-12-20,47,51,87,7.4,53,49,0.00
2014-12-21,48,53,84,5.6,57,49,0.00
2014-12-22,53,63,77,11.0,70,56,0.00
2014-12-23,42,52,68,13.4,57,47,0.01
2014-12-24,34,46,64,9.2,55,37,0.00
2014-12-25,37,49,64,10.5,65,34,0.00
2014-12-26,58,62,88,10.1,68,56,0.03
2014-12-27,48,54,88,13.2,67,41,0.52
2014-12-28,35,38,87,8.3,41,34,0.26
2014-12-29,36,42,83,4.5,52,31,0.00
2014-12-30,39,43,83,10.3,48,37,0.00
2014-12-31,31,41,68,11.9,44,38,0.0
2015-01-01,38,40,93,8.5,42,37,0.49
2015-01-02,42,43,97,8.1,45,41,0.20
2015-01-03,40,45,92,5.6,50,39,1.05
2015-01-04,31,41,71,10.5,49,33,0.00
2015-01-05,25,40,61,5.6,51,29,0.00
2015-01-06,31,49,58,3.8,65,33,0.00
2015-01-07,30,42,57,13.6,55,29,0.00
2015-01-08,16,30,51,6.7,37,22,0.04
2015-01-09,30,36,81,8.7,37,34,0.15
2015-01-10,29,37,76,7.6,39,35,0.05
2015-01-11,38,39,97,4.7,43,35,1.44
2015-01-12,40,44,90,10.5,46,41,0.00
2015-01-13,36,40,83,11.4,43,37,0.00
2015-01-14,33,42,72,9.4,44,40,0.00
2015-01-15,33,47,67,7.8,56,37,0.00
2015-01-16,34,45,66,3.1,60,30,0.00
2015-01-17,39,52,64,6.9,66,37,0.00
2015-01-18,32,54,47,4.5,69,39,0.00
2015-01-19,43,54,68,6.7,71,36,0.00
2015-01-20,50,63,79,5.1,73,52,0.00
2015-01-21,51,56,86,8.7,61,50,0.06
2015-01-22,44,48,91,15.2,53,42,2.90
2015-01-23,38,42,87,10.5,47,36,0.26
2015-01-24,35,45,71,5.4,59,32,0.00
2015-01-25,33,53,50,9.4,68,38,0.00
2015-01-26,35,54,52,6.0,69,38,0.00
2015-01-27,41,62,55,2.9,80,43,0.00
2015-01-28,44,63,57,6.9,79,46,0.00
2015-01-29,52,64,69,9.2,73,55,0.00
2015-01-30,35,54,52,9.2,60,47,0.00
2015-01-31,45,55,73,10.1,66,44,0.02
2015-02-01,,60,,13.0,75,44,0.04
2015-02-02,,40,,9.6,47,32,0.00
2015-02-03,,42,,4.0,44,39,0.22
2015-02-04,,48,,3.6,53,42,0.04
2015-02-05,,44,,11.0,51,37,0.02
2015-02-06,,47,,4.9,57,37,0.00
2015-02-07,,56,,12.8,69,43,0.00
2015-02-08,,63,,9.4,72,54,0.00
2015-02-09,,65,,6.0,82,47,0.00
2015-02-10,,61,,6.7,77,45,0.00
2015-02-11,,65,,7.6,74,56,0.00
2015-02-12,,53,,11.2,62,44,0.00
2015-02-13,,53,,5.8,65,41,0.00
2015-02-14,,62,,4.7,79,44,0.00
2015-02-15,,61,,7.2,68,53,0.02
2015-02-16,,51,,15.0,66,36,0.25
2015-02-17,,42,,8.9,51,32,0.00
2015-02-18,,47,,2.0,63,30,0.00
2015-02-19,,52,,10.1,67,37,0.00
2015-02-20,,62,,17.0,72,51,0.0
2015-02-21,,66,,13.0,75,57,0.0
2015-02-22,,50,,11.9,58,42,0.08
2015-02-23,,37,,14.5,42,31,0.01
2015-02-24,,33,,8.3,37,29,0.0
2015-02-25,,42,,7.6,50,34,0.06
2015-02-26,,40,,10.5,48,31,0.00
2015-02-27,,39,,11.4,42,35,0.00
2015-02-28,,43,,7.2,49,37,0.01
2015-03-01,41,42,97,10.1,44,39,0.04
2015-03-02,42,43,98,8.1,46,40,0.0
2015-03-03,56,60,89,7.6,76,45,0.00
2015-03-04,55,56,87,13.6,77,35,0.06
2015-03-05,29,39,72,16.8,46,31,0.17
2015-03-06,22,42,50,5.1,56,27,0.00
2015-03-07,28,45,50,3.6,58,32,0.00
2015-03-08,44,48,91,6.3,53,43,0.64
2015-03-09,50,52,97,7.6,53,50,3.09
2015-03-10,50,54,89,7.2,57,50,0.00
2015-03-11,50,56,79,10.3,61,52,0.00
2015-03-12,53,58,85,8.7,63,54,0.0
2015-03-13,55,63,83,6.9,71,56,0.05
2015-03-14,52,63,72,8.3,74,52,0.00
2015-03-15,52,59,80,3.4,67,51,0.00
2015-03-16,54,63,71,4.0,76,50,0.00
2015-03-17,61,71,76,3.8,78,64,0.00
2015-03-18,61,71,76,5.8,78,63,0.24
2015-03-19,64,70,82,7.4,79,61,0.0
2015-03-20,63,67,92,6.3,74,60,0.48
2015-03-21,59,60,94,7.4,63,58,0.73
2015-03-22,57,62,84,6.7,69,55,0.00
2015-03-23,53,64,69,3.4,78,50,0.00
2015-03-24,60,69,76,11.0,79,59,0.00
2015-03-25,60,71,73,11.4,80,62,0.00
2015-03-26,49,59,67,14.3,67,51,0.33
2015-03-27,41,61,50,6.0,78,43,0.00
2015-03-28,43,65,47,9.6,82,49,0.00
2015-03-29,56,69,68,13.9,83,54,0.00
2015-03-30,61,70,76,8.7,81,59,0.00
2015-03-31,62,72,73,11.2,80,64,0.00
2015-04-01,65,73,83,9.6,78,68,0.03
2015-04-02,66,74,79,13.9,82,67,0.00
2015-04-03,63,75,71,10.7,84,66,0.0
2015-04-04,47,64,57,11.4,71,57,0.0
2015-04-05,54,60,84,7.4,65,55,0.01
2015-04-06,65,74,77,13.2,83,65,0.00
2015-04-07,65,76,72,12.3,85,66,0.00
2015-04-08,67,76,77,13.0,82,70,0.00
2015-04-09,68,78,75,13.4,84,71,0.00
2015-04-10,55,65,70,8.5,72,58,0.02
2015-04-11,63,69,89,4.9,77,60,0.20
2015-04-12,68,74,87,8.3,81,67,0.17
2015-04-13,66,74,79,7.4,83,66,0.84
2015-04-14,59,63,83,8.1,70,57,0.00
2015-04-15,56,66,70,2.9,79,53,0.00
2015-04-16,64,74,83,6.7,82,65,0.36
2015-04-17,65,72,83,7.2,80,65,0.38
2015-04-18,66,70,85,4.0,78,61,0.35
2015-04-19,60,70,73,8.9,83,57,0.0
2015-04-20,45,63,52,8.1,73,52,0.00
2015-04-21,52,67,59,8.9,79,55,0.00
2015-04-22,65,72,78,6.9,82,63,0.0
2015-04-23,70,77,82,5.1,85,69,0.0
2015-04-24,71,76,84,9.2,85,68,1.11
2015-04-25,67,79,72,7.2,89,69,0.15
2015-04-26,68,76,80,8.3,84,68,0.0
2015-04-27,66,74,79,8.7,84,63,1.17
2015-04-28,55,60,86,11.6,67,53,0.01
2015-04-29,50,63,64,7.6,75,50,0.00
2015-04-30,51,66,59,2.2,80,51,0.00
2015-05-01,54,70,58,1.8,83,57,0.00
2015-05-02,55,70,60,5.6,82,58,0.00
2015-05-03,58,71,66,7.8,83,58,0.00
2015-05-04,59,74,65,9.6,84,63,0.00
2015-05-05,65,74,75,15.0,85,63,0.03
2015-05-06,68,76,82,12.5,85,66,1.95
2015-05-07,70,79,79,11.9,86,72,0.00
2015-05-08,71,79,81,12.1,84,74,0.01
2015-05-09,71,81,78,15.0,88,74,0.03
2015-05-10,72,82,75,16.6,88,76,0.0
2015-05-11,68,72,89,8.5,78,67,0.82
2015-05-12,67,69,91,9.4,72,67,0.32
2015-05-13,67,71,91,8.7,75,67,0.30
2015-05-14,70,76,89,9.8,84,68,0.69
2015-05-15,70,73,91,7.4,77,69,0.33
2015-05-16,71,78,79,14.1,88,68,0.0
2015-05-17,70,74,86,8.3,78,70,0.77
2015-05-18,71,79,83,7.4,86,71,0.18
2015-05-19,72,80,81,11.0,87,73,0.01
2015-05-20,72,81,77,6.7,89,73,0.00
2015-05-21,65,71,88,9.8,77,65,0.00
2015-05-22,67,72,84,9.8,80,65,0.0
2015-05-23,71,77,83,11.2,87,67,0.12
2015-05-24,68,74,84,11.2,81,67,0.74
2015-05-25,69,76,86,12.3,85,66,2.31
2015-05-26,70,77,79,11.2,87,66,0.00
2015-05-27,69,76,79,9.2,86,65,0.55
2015-05-28,72,79,80,8.7,87,71,0.0
2015-05-29,68,77,75,7.6,87,67,0.57
2015-05-30,69,80,76,7.2,89,71,0.00
2015-05-31,62,76,63,6.7,84,67,0.00
2015-06-01,63,77,64,4.7,87,66,0.00
2015-06-02,65,79,63,3.8,89,69,0.00
2015-06-03,66,80,65,5.6,89,70,0.00
2015-06-04,67,80,66,4.0,90,69,0.00
2015-06-05,68,81,67,3.4,90,71,0.00
2015-06-06,68,82,64,3.1,92,72,0.00
2015-06-07,68,83,64,5.4,92,73,0.00
2015-06-08,68,81,66,4.7,91,72,0.00
2015-06-09,68,83,63,4.5,93,72,0.00
2015-06-10,70,83,67,6.3,93,73,0.00
2015-06-11,71,83,68,9.2,93,73,0.00
2015-06-12,72,84,71,9.8,94,74,0.16
2015-06-13,73,83,77,9.8,90,75,0.0
2015-06-14,73,81,85,8.1,88,74,0.32
2015-06-15,73,82,82,8.1,90,74,0.08
2015-06-16,73,77,91,11.9,81,73,2.43
2015-06-17,73,80,83,15.0,84,75,0.33
2015-06-18,73,78,88,7.8,85,72,0.71
2015-06-19,75,82,82,5.8,88,76,0.00
2015-06-20,73,81,82,6.0,90,72,0.27
2015-06-21,75,82,79,9.2,91,73,0.0
2015-06-22,73,84,74,8.9,91,77,0.00
2015-06-23,74,84,76,5.8,93,75,0.06
2015-06-24,72,83,71,2.9,92,74,0.00
2015-06-25,73,83,73,5.8,92,75,0.00
2015-06-26,73,85,71,8.1,93,76,0.00
2015-06-27,73,83,75,6.0,91,74,0.0
2015-06-28,74,82,81,4.7,90,74,0.61
2015-06-29,74,84,76,7.6,92,76,0.00
2015-06-30,74,82,84,6.7,92,72,0.24
2015-07-01,72,81,84,6.9,89,72,0.12
2015-07-02,71,81,75,9.4,91,71,0.00
2015-07-03,73,83,78,7.4,91,75,0.08
2015-07-04,74,83,76,8.7,91,76,0.00
2015-07-05,74,85,73,10.5,92,78,0.00
2015-07-06,74,85,73,12.5,92,78,0.00
2015-07-07,74,85,73,14.1,92,78,0.0
2015-07-08,72,85,69,14.1,92,78,0.00
2015-07-09,73,84,71,9.8,93,75,0.00
